sub,model,tp,workload,config,kind,tps,wall_s,cpu_pct,gpu_pct
093,Llama-3.3-70B,8,chat,vanilla,single-instance,2266.76,159.93,5.62,93.85
093,Llama-3.3-70B,8,code,vanilla,single-instance,6717.72,581.53,5.62,93.85
093,Llama-3.3-70B,8,mix-bal,vanilla,single-instance,6053.85,452.70,5.62,93.85
093,Llama-3.3-70B,8,mix-ch,vanilla,single-instance,6494.87,492.24,5.62,93.85
093,Llama-3.3-70B,8,mix-sh,vanilla,single-instance,6325.89,518.32,5.62,93.85
093,Llama-3.3-70B,8,sonnet,vanilla,single-instance,7678.73,525.85,5.62,93.85
093,Llama-3.3-70B,8,chat,ngram,single-instance,3243.52,111.41,7.59,84.23
093,Llama-3.3-70B,8,code,ngram,single-instance,5361.52,729.68,7.59,84.23
093,Llama-3.3-70B,8,mix-bal,ngram,single-instance,6553.60,427.56,7.59,84.23
093,Llama-3.3-70B,8,mix-ch,ngram,single-instance,5490.71,586.06,7.59,84.23
093,Llama-3.3-70B,8,mix-sh,ngram,single-instance,7932.59,407.67,7.59,84.23
093,Llama-3.3-70B,8,sonnet,ngram,single-instance,10758.75,373.32,7.59,84.23
093,Llama-3.3-70B,8,chat,agsd,single-instance,3830.45,102.13,5.26,73.31
093,Llama-3.3-70B,8,code,agsd,single-instance,7981.42,494.76,5.26,73.31
093,Llama-3.3-70B,8,mix-bal,agsd,single-instance,9514.30,292.23,5.26,73.31
093,Llama-3.3-70B,8,mix-ch,agsd,single-instance,9457.33,339.40,5.26,73.31
093,Llama-3.3-70B,8,mix-sh,agsd,single-instance,10297.68,317.79,5.26,73.31
093,Llama-3.3-70B,8,sonnet,agsd,single-instance,11676.88,346.05,5.26,73.31
093,Qwen2.5-0.5B,1,chat,agsd,single-instance,7693.83,3.03,2.46,0.59
093,Qwen2.5-0.5B,1,chat,ngram,single-instance,5256.75,4.37,1.92,0.43
093,Qwen2.5-0.5B,1,chat,vanilla,single-instance,6575.81,3.61,2.12,0.39
093,Qwen2.5-0.5B,1,code,agsd,single-instance,11784.78,2.17,2.17,0.30
093,Qwen2.5-0.5B,1,code,ngram,single-instance,7948.58,3.22,2.10,0.38
093,Qwen2.5-0.5B,1,code,vanilla,single-instance,7228.16,3.54,1.95,0.71
093,Qwen2.5-0.5B,1,sonnet,agsd,single-instance,10921.40,1.74,2.78,0.28
093,Qwen2.5-0.5B,1,sonnet,ngram,single-instance,4316.69,4.39,1.95,0.17
093,Qwen2.5-0.5B,1,sonnet,vanilla,single-instance,4233.73,4.48,1.81,0.15
093,Qwen2.5-1.5B,1,chat,agsd,single-instance,6528.33,3.23,1.92,0.60
093,Qwen2.5-1.5B,1,chat,ngram,single-instance,4668.76,4.62,1.90,0.69
093,Qwen2.5-1.5B,1,chat,vanilla,single-instance,5571.44,3.62,2.01,0.50
093,Qwen2.5-1.5B,1,code,agsd,single-instance,11295.33,2.27,2.73,0.81
093,Qwen2.5-1.5B,1,code,ngram,single-instance,5157.77,4.96,2.10,0.70
093,Qwen2.5-1.5B,1,code,vanilla,single-instance,6786.45,3.77,2.06,0.67
093,Qwen2.5-1.5B,1,sonnet,agsd,single-instance,6389.11,3.31,2.34,0.48
093,Qwen2.5-1.5B,1,sonnet,ngram,single-instance,3429.76,6.11,1.81,0.56
093,Qwen2.5-1.5B,1,sonnet,vanilla,single-instance,4771.16,4.43,1.97,0.52
093,Qwen2.5-7B,1,chat,agsd,single-instance,4253.43,4.16,2.05,1.38
093,Qwen2.5-7B,1,chat,ngram,single-instance,2777.20,6.35,1.88,1.38
093,Qwen2.5-7B,1,chat,vanilla,single-instance,4556.52,3.84,1.79,1.32
093,Qwen2.5-7B,1,code,agsd,single-instance,8071.26,3.17,1.97,1.09
093,Qwen2.5-7B,1,code,ngram,single-instance,5902.03,4.34,2.19,1.20
093,Qwen2.5-7B,1,code,vanilla,single-instance,6196.04,4.13,2.71,1.57
093,Qwen2.5-7B,1,sonnet,agsd,single-instance,5714.43,4.48,1.95,1.52
093,Qwen2.5-7B,1,sonnet,ngram,single-instance,3199.57,7.97,1.83,1.17
093,Qwen2.5-7B,1,sonnet,vanilla,single-instance,5584.22,4.55,1.75,1.06
093,opt-125m,1,chat,ngram,single-instance,9514.41,2.69,2.28,0.12
093,opt-125m,1,chat,vanilla,single-instance,9542.12,2.68,1.91,0.46
093,opt-125m,1,code,ngram,single-instance,6435.19,3.98,2.27,0.28
093,opt-125m,1,code,vanilla,single-instance,9772.11,2.62,2.48,0.40
093,opt-125m,1,sonnet,ngram,single-instance,7360.31,3.48,1.99,0.39
093,opt-125m,1,sonnet,vanilla,single-instance,8008.21,3.20,1.83,0.17
093,starcoder2-3b,1,chat,ngram,single-instance,7486.08,3.42,3.72,0.68
093,starcoder2-3b,1,chat,vanilla,single-instance,6722.53,3.81,3.42,0.99
093,starcoder2-3b,1,code,ngram,single-instance,7241.98,3.53,4.56,0.69
093,starcoder2-3b,1,code,vanilla,single-instance,6794.05,3.77,3.76,1.10
093,starcoder2-3b,1,sonnet,ngram,single-instance,5006.97,5.11,3.03,0.45
093,starcoder2-3b,1,sonnet,vanilla,single-instance,5758.41,4.45,3.28,0.74
096,Qwen2.5-72B,8,chat,vanilla,single-instance,2559.64,164.34,5.85,93.19
096,Qwen2.5-72B,8,code,vanilla,single-instance,6226.82,652.82,5.85,93.19
096,Qwen2.5-72B,8,mix-bal,vanilla,single-instance,5702.48,446.04,5.85,93.19
096,Qwen2.5-72B,8,mix-ch,vanilla,single-instance,6230.58,515.63,5.85,93.19
096,Qwen2.5-72B,8,mix-sh,vanilla,single-instance,5832.02,463.20,5.85,93.19
096,Qwen2.5-72B,8,sonnet,vanilla,single-instance,6455.99,458.13,5.85,93.19
096,Qwen2.5-72B,8,chat,ngram,single-instance,3461.86,123.26,5.40,82.04
096,Qwen2.5-72B,8,code,ngram,single-instance,5766.46,702.29,5.40,82.04
096,Qwen2.5-72B,8,mix-bal,ngram,single-instance,6691.73,369.32,5.40,82.04
096,Qwen2.5-72B,8,mix-ch,ngram,single-instance,5989.33,538.63,5.40,82.04
096,Qwen2.5-72B,8,mix-sh,ngram,single-instance,6585.82,410.22,5.40,82.04
096,Qwen2.5-72B,8,sonnet,ngram,single-instance,7967.51,378.41,5.40,82.04
096,Qwen2.5-72B,8,chat,agsd,single-instance,3770.29,113.13,5.35,74.74
096,Qwen2.5-72B,8,code,agsd,single-instance,5941.01,685.58,5.35,74.74
096,Qwen2.5-72B,8,mix-bal,agsd,single-instance,8228.07,302.56,5.35,74.74
096,Qwen2.5-72B,8,mix-ch,agsd,single-instance,8491.25,376.97,5.35,74.74
096,Qwen2.5-72B,8,mix-sh,agsd,single-instance,8794.51,305.70,5.35,74.74
096,Qwen2.5-72B,8,sonnet,agsd,single-instance,9959.00,298.70,5.35,74.74
096,Phi-3-medium-14B,1,chat,vanilla,single-instance,3138.23,65.93,2.01,11.27
096,Phi-3-medium-14B,1,code,vanilla,single-instance,3339.51,153.32,2.01,11.27
096,Phi-3-medium-14B,1,mix-bal,vanilla,single-instance,3373.91,114.21,2.01,11.27
096,Phi-3-medium-14B,1,mix-ch,vanilla,single-instance,3342.00,131.95,2.01,11.27
096,Phi-3-medium-14B,1,mix-sh,vanilla,single-instance,3434.37,114.70,2.01,11.27
096,Phi-3-medium-14B,1,sonnet,vanilla,single-instance,3437.92,127.71,2.01,11.27
096,Phi-3-medium-14B,1,chat,ngram,single-instance,3242.26,61.36,1.80,9.41
096,Phi-3-medium-14B,1,code,ngram,single-instance,5140.08,99.61,1.80,9.41
096,Phi-3-medium-14B,1,mix-bal,ngram,single-instance,4761.93,80.58,1.80,9.41
096,Phi-3-medium-14B,1,mix-ch,ngram,single-instance,5246.04,83.78,1.80,9.41
096,Phi-3-medium-14B,1,mix-sh,ngram,single-instance,4744.23,84.69,1.80,9.41
096,Phi-3-medium-14B,1,sonnet,ngram,single-instance,4881.42,89.63,1.80,9.41
096,Phi-3-medium-14B,1,chat,agsd,single-instance,4172.79,48.76,1.79,9.04
096,Phi-3-medium-14B,1,code,agsd,single-instance,5084.80,100.69,1.79,9.04
096,Phi-3-medium-14B,1,mix-bal,agsd,single-instance,7312.04,52.47,1.79,9.04
096,Phi-3-medium-14B,1,mix-ch,agsd,single-instance,6389.70,68.78,1.79,9.04
096,Phi-3-medium-14B,1,mix-sh,agsd,single-instance,6562.60,60.56,1.79,9.04
096,Phi-3-medium-14B,1,sonnet,agsd,single-instance,6523.06,66.81,1.79,9.04
097-A,Qwen2.5-32B,8,chat,vanilla,single-instance,8943.15,197.68,5.77,93.23
097-A,Qwen2.5-32B,8,code,vanilla,single-instance,10636.53,385.09,5.77,93.23
097-A,Qwen2.5-32B,8,mix-bal,vanilla,single-instance,9514.41,352.90,5.77,93.23
097-A,Qwen2.5-32B,8,mix-ch,vanilla,single-instance,9814.03,368.00,5.77,93.23
097-A,Qwen2.5-32B,8,mix-sh,vanilla,single-instance,10050.79,360.38,5.77,93.23
097-A,Qwen2.5-32B,8,sonnet,vanilla,single-instance,11724.87,346.11,5.77,93.23
097-A,Qwen2.5-32B,8,chat,ngram,single-instance,10542.07,162.18,5.34,73.63
097-A,Qwen2.5-32B,8,code,ngram,single-instance,10174.21,402.59,5.34,73.63
097-A,Qwen2.5-32B,8,mix-bal,ngram,single-instance,11900.04,283.19,5.34,73.63
097-A,Qwen2.5-32B,8,mix-ch,ngram,single-instance,10545.68,344.71,5.34,73.63
097-A,Qwen2.5-32B,8,mix-sh,ngram,single-instance,13367.75,275.13,5.34,73.63
097-A,Qwen2.5-32B,8,sonnet,ngram,single-instance,16622.41,242.69,5.34,73.63
097-A,Qwen2.5-32B,8,chat,agsd,single-instance,12066.49,142.85,5.33,62.59
097-A,Qwen2.5-32B,8,code,agsd,single-instance,10551.32,388.20,5.33,62.59
097-A,Qwen2.5-32B,8,mix-bal,agsd,single-instance,15837.82,208.42,5.33,62.59
097-A,Qwen2.5-32B,8,mix-ch,agsd,single-instance,14379.59,249.43,5.33,62.59
097-A,Qwen2.5-32B,8,mix-sh,agsd,single-instance,15347.28,232.94,5.33,62.59
097-A,Qwen2.5-32B,8,sonnet,agsd,single-instance,19205.96,210.90,5.33,62.59
094,Qwen2.5-7B,1,mix-bal,vanilla-only,e2e TP=1×2,3753.32,13.29,,
094,Qwen2.5-7B,1,mix-bal,trident-only,e2e TP=1×2,4238.27,11.73,,
094,Qwen2.5-7B,1,mix-bal,agsd-gated,e2e TP=1×2,6072.82,8.20,,
094,Qwen2.5-7B,1,mix-son,vanilla-only,e2e TP=1×2,3864.68,13.02,,
094,Qwen2.5-7B,1,mix-son,trident-only,e2e TP=1×2,5233.54,9.61,,
094,Qwen2.5-7B,1,mix-son,agsd-gated,e2e TP=1×2,6025.35,8.35,,
094,Qwen2.5-7B,1,mix-cod,vanilla-only,e2e TP=1×2,3966.38,12.66,,
094,Qwen2.5-7B,1,mix-cod,trident-only,e2e TP=1×2,7512.25,6.69,,
094,Qwen2.5-7B,1,mix-cod,agsd-gated,e2e TP=1×2,8824.66,5.70,,
095,Qwen2.5-0.5B,1,mix-bal,vanilla-only,e2e TP=1×2,3672.37,11.56,,
095,Qwen2.5-0.5B,1,mix-bal,trident-only,e2e TP=1×2,4643.57,9.06,,
095,Qwen2.5-0.5B,1,mix-bal,agsd-gated,e2e TP=1×2,6252.11,6.78,,
095,Qwen2.5-0.5B,1,mix-son,vanilla-only,e2e TP=1×2,4196.18,9.31,,
095,Qwen2.5-0.5B,1,mix-son,trident-only,e2e TP=1×2,6206.93,6.23,,
095,Qwen2.5-0.5B,1,mix-son,agsd-gated,e2e TP=1×2,6857.68,5.66,,
095,Qwen2.5-0.5B,1,mix-cod,vanilla-only,e2e TP=1×2,4227.17,10.86,,
095,Qwen2.5-0.5B,1,mix-cod,trident-only,e2e TP=1×2,7267.24,6.27,,
095,Qwen2.5-0.5B,1,mix-cod,agsd-gated,e2e TP=1×2,8605.48,5.32,,
095,Qwen2.5-1.5B,1,mix-bal,vanilla-only,e2e TP=1×2,3512.46,12.17,,
095,Qwen2.5-1.5B,1,mix-bal,trident-only,e2e TP=1×2,4523.97,9.46,,
095,Qwen2.5-1.5B,1,mix-bal,agsd-gated,e2e TP=1×2,5782.84,7.44,,
095,Qwen2.5-1.5B,1,mix-son,vanilla-only,e2e TP=1×2,4067.51,9.95,,
095,Qwen2.5-1.5B,1,mix-son,trident-only,e2e TP=1×2,5050.41,7.84,,
095,Qwen2.5-1.5B,1,mix-son,agsd-gated,e2e TP=1×2,5449.34,7.39,,
095,Qwen2.5-1.5B,1,mix-cod,vanilla-only,e2e TP=1×2,4210.87,11.24,,
095,Qwen2.5-1.5B,1,mix-cod,trident-only,e2e TP=1×2,8165.64,5.77,,
095,Qwen2.5-1.5B,1,mix-cod,agsd-gated,e2e TP=1×2,8931.97,5.29,,
095,Qwen2.5-32B,2,mix-bal,vanilla-only,e2e TP=2×2,1779.28,27.86,,
095,Qwen2.5-32B,2,mix-bal,trident-only,e2e TP=2×2,2720.58,18.42,,
095,Qwen2.5-32B,2,mix-bal,agsd-gated,e2e TP=2×2,3449.07,14.33,,
095,Qwen2.5-32B,2,mix-son,vanilla-only,e2e TP=2×2,1792.07,28.07,,
095,Qwen2.5-32B,2,mix-son,trident-only,e2e TP=2×2,4004.11,12.55,,
095,Qwen2.5-32B,2,mix-son,agsd-gated,e2e TP=2×2,4084.03,12.41,,
095,Qwen2.5-32B,2,mix-cod,vanilla-only,e2e TP=2×2,1874.12,26.30,,
095,Qwen2.5-32B,2,mix-cod,trident-only,e2e TP=2×2,4550.59,10.83,,
095,Qwen2.5-32B,2,mix-cod,agsd-gated,e2e TP=2×2,4574.94,10.77,,
097-B,Qwen2.5-32B,4,mix-bal,vanilla-only,e2e TP=4×2,2416.27,20.61,,
097-B,Qwen2.5-32B,4,mix-bal,trident-only,e2e TP=4×2,3461.32,14.37,,
097-B,Qwen2.5-32B,4,mix-bal,agsd-gated,e2e TP=4×2,4894.25,10.18,,
097-B,Qwen2.5-32B,4,mix-son,vanilla-only,e2e TP=4×2,2505.93,20.13,,
097-B,Qwen2.5-32B,4,mix-son,trident-only,e2e TP=4×2,5329.66,9.50,,
097-B,Qwen2.5-32B,4,mix-son,agsd-gated,e2e TP=4×2,5576.35,9.08,,
097-B,Qwen2.5-32B,4,mix-cod,vanilla-only,e2e TP=4×2,2569.27,19.15,,
097-B,Qwen2.5-32B,4,mix-cod,trident-only,e2e TP=4×2,5381.54,9.20,,
097-B,Qwen2.5-32B,4,mix-cod,agsd-gated,e2e TP=4×2,6139.43,8.03,,
