core80,core81,core82,core83,core84,core85,core86,core87,sys_cpu_pct,t_s,w_3382437,w_3382437_cpu,w_3382438,w_3382438_cpu,w_3382439,w_3382439_cpu,w_3382440,w_3382440_cpu,w_3382441,w_3382441_cpu,w_3382442,w_3382442_cpu,w_3382443,w_3382443_cpu,w_3382444,w_3382444_cpu
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.9,0.5,51.4,80,49.4,81,49.4,82,49.4,83,49.4,84,49.4,85,47.5,86,49.4,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.6,1.005,49.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.9,1.508,47.7,80,47.7,81,47.7,82,49.7,83,49.7,84,49.7,85,47.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.9,2.011,51.7,80,51.7,81,49.7,82,49.7,83,51.7,84,49.7,85,51.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,2.514,49.7,80,49.7,81,51.7,82,49.7,83,49.7,84,47.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.5,3.017,47.7,80,49.7,81,49.7,82,49.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.8,3.52,51.7,80,49.7,81,49.7,82,51.7,83,47.7,84,49.7,85,47.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,4.023,49.7,80,49.7,81,49.7,82,49.7,83,51.7,84,47.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.1,4.526,47.7,80,49.7,81,47.7,82,47.7,83,47.7,84,51.7,85,47.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,5.029,51.7,80,49.7,81,49.7,82,49.7,83,51.7,84,47.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,5.532,47.7,80,49.7,81,51.7,82,49.7,83,49.7,84,51.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,6.035,51.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,6.538,49.7,80,51.7,81,47.7,82,47.7,83,47.7,84,49.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,7.041,49.7,80,47.7,81,49.7,82,51.7,83,51.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.6,7.544,49.7,80,49.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,8.047,49.7,80,47.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.0,8.55,49.7,80,51.7,81,47.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.4,9.053,51.7,80,49.7,81,51.7,82,51.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,9.556,47.7,80,47.7,81,47.7,82,47.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,10.058,49.7,80,51.7,81,51.7,82,49.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.3,10.561,51.7,80,47.7,81,47.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,11.064,47.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,11.567,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,47.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,12.07,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.6,12.573,51.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.3,13.076,49.7,80,49.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,13.579,47.7,80,47.7,81,49.7,82,49.7,83,51.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,14.082,49.7,80,53.7,81,49.7,82,51.7,83,49.7,84,47.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.0,14.585,49.7,80,47.7,81,49.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.4,15.088,51.7,80,49.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,15.591,49.7,80,51.7,81,47.7,82,49.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,16.094,47.7,80,47.7,81,51.7,82,49.7,83,49.7,84,47.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,16.597,49.7,80,51.7,81,49.7,82,49.7,83,49.7,84,51.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.8,17.1,51.7,80,47.7,81,47.7,82,47.7,83,49.7,84,47.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,17.603,47.7,80,51.7,81,49.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.0,18.106,49.7,80,49.7,81,51.7,82,49.7,83,49.7,84,51.7,85,47.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.6,18.609,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,51.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,19.112,49.7,80,47.7,81,49.7,82,49.7,83,49.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,19.615,51.1,80,51.1,81,47.1,82,51.1,83,51.1,84,49.1,85,51.1,86,49.1,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.7,20.124,51.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,20.627,47.7,80,47.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,21.13,49.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,21.633,51.7,80,49.7,81,49.7,82,49.7,83,47.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.1,22.136,47.7,80,47.7,81,49.7,82,49.7,83,51.7,84,47.7,85,51.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.6,22.639,49.7,80,51.7,81,47.7,82,49.7,83,47.7,84,51.7,85,47.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,23.142,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.4,23.645,51.7,80,49.7,81,49.7,82,47.7,83,49.7,84,47.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.6,24.148,49.7,80,49.7,81,51.7,82,51.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,24.651,47.7,80,47.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,25.154,51.7,80,51.7,81,49.7,82,47.7,83,51.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,25.657,47.7,80,51.7,81,49.7,82,51.7,83,49.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,26.16,49.7,80,47.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,26.662,51.7,80,49.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.5,27.165,47.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.3,27.668,49.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,28.171,51.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,28.674,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,29.177,47.7,80,49.7,81,49.7,82,49.7,83,47.7,84,51.7,85,51.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.5,29.681,51.7,80,51.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.6,30.184,47.7,80,47.7,81,49.7,82,49.7,83,49.7,84,47.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,30.687,49.7,80,49.7,81,51.7,82,49.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,31.189,51.7,80,51.7,81,47.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,31.692,47.7,80,49.7,81,49.7,82,51.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,32.195,49.7,80,47.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,32.698,49.7,80,51.7,81,49.7,82,49.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.4,33.201,51.7,80,47.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.3,33.704,49.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,34.208,51.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,34.711,47.7,80,49.7,81,49.7,82,47.7,83,47.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,35.214,49.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,35.717,49.7,80,49.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.9,36.219,49.7,80,49.7,81,47.7,82,51.7,83,49.7,84,49.7,85,47.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.8,36.722,49.7,80,49.7,81,51.7,82,47.7,83,51.7,84,49.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,37.226,49.7,80,47.7,81,47.7,82,51.7,83,49.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,37.729,49.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.6,38.232,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.3,38.735,49.7,80,47.7,81,49.7,82,47.7,83,49.7,84,47.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,39.238,51.7,80,51.7,81,49.7,82,51.7,83,47.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.6,39.741,47.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,40.244,51.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,40.747,49.7,80,49.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,41.25,49.7,80,51.7,81,47.7,82,47.7,83,53.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,41.753,49.7,80,47.7,81,51.7,82,51.7,83,47.7,84,47.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.4,42.256,47.7,80,49.7,81,47.7,82,49.7,83,51.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,42.759,49.7,80,49.7,81,53.7,82,47.7,83,47.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.2,43.262,51.7,80,51.7,81,47.7,82,51.7,83,49.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,43.765,47.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.5,44.268,51.7,80,49.7,81,49.7,82,49.7,83,47.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.6,44.771,49.7,80,47.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,45.275,49.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,45.777,49.7,80,47.7,81,47.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,46.28,49.7,80,49.7,81,51.7,82,47.7,83,49.7,84,49.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.1,46.783,49.7,80,51.7,81,49.7,82,49.7,83,49.7,84,47.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,47.286,49.7,80,47.7,81,47.7,82,49.7,83,49.7,84,51.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.7,47.789,47.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.2,48.292,51.7,80,51.7,81,51.7,82,51.7,83,51.7,84,49.7,85,47.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.3,48.795,49.7,80,49.7,81,47.7,82,47.7,83,47.7,84,49.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.1,49.298,47.7,80,49.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.0,49.801,51.7,80,49.7,81,47.7,82,51.7,83,51.7,84,49.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.8,50.304,49.7,80,49.7,81,51.7,82,49.7,83,47.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.5,50.807,49.7,80,49.7,81,49.7,82,49.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.3,51.31,51.7,80,49.7,81,47.7,82,49.7,83,47.7,84,49.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.5,51.813,47.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.0,52.316,49.7,80,47.7,81,51.7,82,49.7,83,51.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.4,52.819,49.7,80,51.7,81,49.7,82,49.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.1,53.322,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.0,53.826,51.7,80,49.7,81,49.7,82,49.7,83,49.7,84,47.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,54.329,47.7,80,49.7,81,49.7,82,49.7,83,49.7,84,51.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.6,54.832,51.7,80,49.7,81,51.7,82,47.7,83,49.7,84,47.7,85,47.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.5,55.335,49.7,80,51.7,81,49.7,82,51.7,83,49.7,84,51.7,85,51.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,55.838,47.7,80,47.7,81,47.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.2,56.341,51.7,80,51.7,81,49.7,82,49.7,83,49.7,84,49.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,56.843,49.7,80,47.7,81,51.7,82,49.7,83,47.7,84,49.7,85,49.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.8,57.346,49.7,80,51.7,81,49.7,82,51.7,83,53.7,84,49.7,85,47.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.8,57.85,49.7,80,49.7,81,49.7,82,47.7,83,47.7,84,47.7,85,51.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.8,58.353,49.7,80,47.7,81,49.7,82,51.7,83,49.7,84,51.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.2,58.856,49.7,80,49.7,81,49.7,82,47.7,83,49.7,84,47.7,85,47.7,86,51.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.7,59.359,47.7,80,49.7,81,47.7,82,49.7,83,49.7,84,51.7,85,49.7,86,47.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.1,59.862,51.7,80,51.7,81,51.7,82,49.7,83,49.7,84,49.7,85,49.7,86,49.7,87
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.9,60.365,49.7,80,49.7,81,49.7,82,49.7,83,49.7,84,49.7,85,51.7,86,49.7,87
